"Plot Title: baddeck"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10536701, SEN S/N: 10536701)","Temp, °C (LGR S/N: 10536701, SEN S/N: 10536701)","Sensor Depth, meters (LGR S/N: 10536701)"
334,11/06/14 08:56:37  PM,115.714,10.748,1.416
335,11/06/14 09:11:37  PM,115.689,10.651,1.417
336,11/06/14 09:26:37  PM,115.632,10.553,1.413
337,11/06/14 09:41:37  PM,115.680,10.455,1.417
338,11/06/14 09:56:37  PM,115.596,10.455,1.411
339,11/06/14 10:11:37  PM,115.718,10.357,1.427
340,11/06/14 10:26:37  PM,115.718,10.357,1.428
341,11/06/14 10:41:37  PM,115.718,10.357,1.429
342,11/06/14 10:56:37  PM,115.676,10.357,1.427
343,11/06/14 11:11:37  PM,115.592,10.357,1.421
344,11/06/14 11:26:37  PM,115.561,10.357,1.422
345,11/06/14 11:41:37  PM,115.550,10.357,1.426
346,11/06/14 11:56:37  PM,115.393,10.357,1.415
347,11/07/14 12:11:37  AM,115.292,10.455,1.410
348,11/07/14 12:26:37  AM,115.145,10.455,1.394
349,11/07/14 12:41:37  AM,115.029,10.455,1.379
350,11/07/14 12:56:37  AM,114.956,10.455,1.375
351,11/07/14 01:11:37  AM,114.991,10.553,1.383
352,11/07/14 01:26:37  AM,114.777,10.455,1.365
353,11/07/14 01:41:37  AM,114.777,10.455,1.371
354,11/07/14 01:56:37  AM,114.651,10.455,1.365
355,11/07/14 02:11:37  AM,114.567,10.455,1.363
356,11/07/14 02:26:37  AM,114.395,10.357,1.349
357,11/07/14 02:41:37  AM,114.630,10.455,1.372
358,11/07/14 02:56:37  AM,114.535,10.455,1.364
359,11/07/14 03:11:37  AM,114.596,10.161,1.369
360,11/07/14 03:26:37  AM,114.334,10.161,1.340
361,11/07/14 03:41:37  AM,114.390,10.259,1.349
362,11/07/14 03:56:37  AM,114.451,10.455,1.355
363,11/07/14 04:11:37  AM,114.514,10.455,1.359
364,11/07/14 04:26:37  AM,114.273,10.455,1.339
365,11/07/14 04:41:37  AM,114.336,10.455,1.350
366,11/07/14 04:56:37  AM,114.256,10.553,1.344
367,11/07/14 05:11:37  AM,114.151,10.553,1.338
368,11/07/14 05:26:37  AM,114.388,10.455,1.366
369,11/07/14 05:41:37  AM,114.199,10.455,1.351
370,11/07/14 05:56:37  AM,114.084,10.455,1.345
371,11/07/14 06:11:37  AM,114.231,10.455,1.363
372,11/07/14 06:26:37  AM,114.304,10.455,1.373
373,11/07/14 06:41:37  AM,114.346,10.455,1.381
374,11/07/14 06:56:37  AM,114.342,10.357,1.384
375,11/07/14 07:11:37  AM,114.598,10.455,1.412
376,11/07/14 07:26:37  AM,114.661,10.455,1.420
377,11/07/14 07:41:37  AM,114.815,10.357,1.435
378,11/07/14 07:56:37  AM,114.615,10.357,1.418
379,11/07/14 08:11:37  AM,114.668,10.357,1.428
380,11/07/14 08:26:37  AM,114.643,10.259,1.431
381,11/07/14 08:41:37  AM,114.573,10.357,1.429
382,11/07/14 08:56:37  AM,114.731,10.357,1.450
383,11/07/14 09:11:37  AM,114.783,10.357,1.459
384,11/07/14 09:26:37  AM,114.794,10.357,1.464
385,11/07/14 09:41:37  AM,114.811,10.259,1.470
386,11/07/14 09:56:37  AM,114.909,10.357,1.487
387,11/07/14 10:11:37  AM,114.920,10.357,1.494
388,11/07/14 10:26:37  AM,114.710,10.357,1.476
389,11/07/14 10:41:37  AM,114.762,10.357,1.485
390,11/07/14 10:56:37  AM,114.857,10.357,1.499
391,11/07/14 11:11:37  AM,114.920,10.357,1.510
392,11/07/14 11:26:37  AM,115.035,10.357,1.522
393,11/07/14 11:41:37  AM,114.741,10.357,1.497
394,11/07/14 11:56:37  AM,114.878,10.357,1.515
395,11/07/14 12:11:37  PM,114.741,10.357,1.507
396,11/07/14 12:26:37  PM,114.905,10.259,1.527
397,11/07/14 12:41:37  PM,114.916,10.259,1.533
398,11/07/14 12:56:37  PM,114.737,10.259,1.516
399,11/07/14 01:11:37  PM,114.559,10.259,1.502
400,11/07/14 01:26:37  PM,114.517,10.259,1.503
401,11/07/14 01:41:37  PM,114.338,10.259,1.489
402,11/07/14 01:56:37  PM,114.353,10.357,1.493
403,11/07/14 02:11:37  PM,114.164,10.357,1.479
404,11/07/14 02:26:37  PM,114.107,10.259,1.476
405,11/07/14 02:41:37  PM,114.153,10.357,1.483
406,11/07/14 02:56:37  PM,114.149,10.259,1.485
407,11/07/14 03:11:37  PM,113.886,10.259,1.464
408,11/07/14 03:26:37  PM,113.897,10.259,1.468
409,11/07/14 03:41:37  PM,113.918,10.259,1.473
410,11/07/14 03:56:37  PM,113.817,10.357,1.468
411,11/07/14 04:11:37  PM,114.017,10.357,1.492
412,11/07/14 04:26:37  PM,113.827,10.357,1.479
413,11/07/14 04:41:37  PM,113.874,10.455,1.493
414,11/07/14 04:56:37  PM,113.449,10.357,1.455
415,11/07/14 05:11:37  PM,113.827,10.357,1.494
416,11/07/14 05:26:37  PM,113.638,10.357,1.476
417,11/07/14 05:41:37  PM,114.017,10.357,1.517
418,11/07/14 05:56:37  PM,113.924,10.651,1.514
419,11/07/14 06:11:37  PM,113.945,10.651,1.519
420,11/07/14 06:26:37  PM,113.794,10.553,1.507
421,11/07/14 06:41:37  PM,114.061,10.651,1.536
422,11/07/14 06:56:37  PM,114.386,10.651,1.573
423,11/07/14 07:11:37  PM,114.092,10.651,1.545
424,11/07/14 07:26:37  PM,114.250,10.651,1.564
425,11/07/14 07:41:37  PM,114.187,10.651,1.561
426,11/07/14 07:56:37  PM,114.344,10.651,1.580
427,11/07/14 08:11:37  PM,114.088,10.553,1.560
428,11/07/14 08:26:37  PM,114.382,10.553,1.593
429,11/07/14 08:41:37  PM,114.424,10.553,1.603
430,11/07/14 08:56:37  PM,114.561,10.553,1.616
431,11/07/14 09:11:37  PM,114.388,10.455,1.594
432,11/07/14 09:26:37  PM,114.388,10.455,1.601
433,11/07/14 09:41:37  PM,114.416,10.357,1.611
434,11/07/14 09:56:37  PM,114.374,10.357,1.611
435,11/07/14 10:11:37  PM,114.535,10.455,1.629
436,11/07/14 10:26:37  PM,114.655,10.553,1.641
437,11/07/14 10:41:37  PM,114.838,10.651,1.659
438,11/07/14 10:56:37  PM,114.659,10.651,1.641
439,11/07/14 11:11:37  PM,114.806,10.651,1.660
440,11/07/14 11:26:37  PM,114.485,10.748,1.631
441,11/07/14 11:41:37  PM,114.664,10.748,1.647
442,11/07/14 11:56:37  PM,114.695,10.748,1.649
443,11/08/14 12:11:37  AM,114.590,10.748,1.638
444,11/08/14 12:26:37  AM,114.643,10.748,1.645
445,11/08/14 12:41:37  AM,114.327,10.748,1.615
446,11/08/14 12:56:37  AM,114.506,10.748,1.633
447,11/08/14 01:11:37  AM,114.155,10.651,1.599
448,11/08/14 01:26:37  AM,114.040,10.651,1.586
449,11/08/14 01:41:37  AM,113.956,10.651,1.577
450,11/08/14 01:56:37  AM,113.977,10.651,1.578
451,11/08/14 02:11:37  AM,114.124,10.651,1.591
452,11/08/14 02:26:37  AM,114.019,10.651,1.576
453,11/08/14 02:41:37  AM,114.155,10.651,1.584
454,11/08/14 02:56:37  AM,113.987,10.651,1.566
455,11/08/14 03:11:37  AM,113.956,10.651,1.560
456,11/08/14 03:26:37  AM,113.907,10.748,1.552
457,11/08/14 03:41:37  AM,114.048,10.846,1.563
458,11/08/14 03:56:37  AM,113.876,10.748,1.545
