* ID=Minilog-T
* Serial Number=4157
* Study ID=Jay MacDonald
* Start Time=2012-03-12 15:01:26
* Finish Time=2012-08-23 13:01:26
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2012-04-12,02:01:26,9.02
2012-04-12,03:01:26,8.14
2012-04-12,04:01:26,7.25
2012-04-12,05:01:26,6.52
2012-04-12,06:01:26,5.92
2012-04-12,07:01:26,5.48
2012-04-12,08:01:26,5.18
2012-04-12,09:01:26,8.43
2012-04-12,10:01:26,18.76
2012-04-12,11:01:26,16.15
2012-04-12,12:01:26,18.76
2012-04-12,13:01:26,15.55
2012-04-12,14:01:26,13.30
2012-04-12,15:01:26,11.08
2012-04-12,16:01:26,9.76
2012-04-12,17:01:26,8.58
2012-04-12,18:01:26,7.70
2012-04-12,19:01:26,6.81
2012-04-12,20:01:26,6.07
2012-04-12,21:01:26,5.33
2012-04-12,22:01:26,4.74
2012-04-12,23:01:26,4.14
2012-04-13,00:01:26,3.69
2012-04-13,01:01:26,3.39
2012-04-13,02:01:26,2.94
2012-04-13,03:01:26,2.49
2012-04-13,04:01:26,2.19
2012-04-13,05:01:26,1.89
2012-04-13,06:01:26,0.97
2012-04-13,07:01:26,0.82
2012-04-13,08:01:26,3.09
2012-04-13,09:01:26,6.66
2012-04-13,10:01:26,14.95
2012-04-13,11:01:26,19.85
2012-04-13,12:01:26,19.54
2012-04-13,13:01:26,19.38
2012-04-13,14:01:26,19.07
2012-04-13,15:01:26,18.76
2012-04-13,16:01:26,18.76
2012-04-13,17:01:26,19.38
2012-04-13,18:01:26,19.85
2012-04-13,19:01:26,19.85
2012-04-13,20:01:26,19.85
2012-04-13,21:01:26,20.17
2012-04-13,22:01:26,20.32
2012-04-13,23:01:26,20.64
2012-04-14,00:01:26,20.32
2012-04-14,01:01:26,19.85
